44.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/44.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/45.ll']' returned non-zero exit status 1.
45.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/45.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/46.ll']' returned non-zero exit status 1.
47.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/47.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/48.ll']' returned non-zero exit status 1.
48.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/48.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/49.ll']' returned non-zero exit status 1.
49.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/49.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/50.ll']' returned non-zero exit status 1.
51.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/51.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/52.ll']' returned non-zero exit status 1.
52.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/52.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/53.ll']' returned non-zero exit status 1.
54.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/54.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/55.ll']' returned non-zero exit status 1.
55.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/55.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/56.ll']' returned non-zero exit status 1.
56.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/56.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/57.ll']' returned non-zero exit status 1.
57.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/57.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/58.ll']' returned non-zero exit status 1.
58.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/58.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/59.ll']' returned non-zero exit status 1.
59.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/59.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/60.ll']' returned non-zero exit status 1.
60.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/60.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/61.ll']' returned non-zero exit status 1.
61.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/61.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/62.ll']' returned non-zero exit status 1.
62.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/62.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/63.ll']' returned non-zero exit status 1.
63.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/63.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/64.ll']' returned non-zero exit status 1.
64.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/64.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/65.ll']' returned non-zero exit status 1.
65.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/65.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/66.ll']' returned non-zero exit status 1.
66.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/66.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/67.ll']' returned non-zero exit status 1.
67.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/67.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/68.ll']' returned non-zero exit status 1.
68.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/68.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/69.ll']' returned non-zero exit status 1.
69.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/69.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/70.ll']' returned non-zero exit status 1.
70.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/70.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/71.ll']' returned non-zero exit status 1.
72.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/72.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/73.ll']' returned non-zero exit status 1.
73.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/73.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/74.ll']' returned non-zero exit status 1.
74.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/74.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/75.ll']' returned non-zero exit status 1.
75.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/75.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/76.ll']' returned non-zero exit status 1.
76.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/76.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/77.ll']' returned non-zero exit status 1.
78.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/78.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/79.ll']' returned non-zero exit status 1.
79.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/79.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/80.ll']' returned non-zero exit status 1.
81.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/81.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/82.ll']' returned non-zero exit status 1.
82.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/82.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/83.ll']' returned non-zero exit status 1.
84.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/84.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/85.ll']' returned non-zero exit status 1.
86.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/86.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/87.ll']' returned non-zero exit status 1.
87.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/87.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/88.ll']' returned non-zero exit status 1.
89.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/89.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/90.ll']' returned non-zero exit status 1.
90.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/90.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/91.ll']' returned non-zero exit status 1.
91.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/91.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/92.ll']' returned non-zero exit status 1.
92.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/92.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/93.ll']' returned non-zero exit status 1.
93.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/93.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/94.ll']' returned non-zero exit status 1.
95.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/95.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/96.ll']' returned non-zero exit status 1.
96.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/96.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/97.ll']' returned non-zero exit status 1.
97.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/97.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/98.ll']' returned non-zero exit status 1.
98.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/98.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/99.ll']' returned non-zero exit status 1.
99.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/99.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/100.ll']' returned non-zero exit status 1.
100.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/100.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/101.ll']' returned non-zero exit status 1.
101.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/101.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/102.ll']' returned non-zero exit status 1.
102.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/102.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/103.ll']' returned non-zero exit status 1.
103.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/103.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/104.ll']' returned non-zero exit status 1.
104.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/104.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/105.ll']' returned non-zero exit status 1.
105.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/105.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/106.ll']' returned non-zero exit status 1.
106.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/106.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/107.ll']' returned non-zero exit status 1.
107.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/107.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/108.ll']' returned non-zero exit status 1.
108.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/108.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/109.ll']' returned non-zero exit status 1.
2.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/2.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/3.ll']' returned non-zero exit status 1.
3.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/3.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/4.ll']' returned non-zero exit status 1.
4.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/4.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/5.ll']' returned non-zero exit status 1.
5.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/5.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/6.ll']' returned non-zero exit status 1.
6.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/6.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/7.ll']' returned non-zero exit status 1.
7.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/7.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/8.ll']' returned non-zero exit status 1.
8.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/8.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/9.ll']' returned non-zero exit status 1.
9.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/9.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/10.ll']' returned non-zero exit status 1.
10.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/10.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/11.ll']' returned non-zero exit status 1.
12.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/12.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/13.ll']' returned non-zero exit status 1.
13.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/13.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/14.ll']' returned non-zero exit status 1.
14.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/14.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/15.ll']' returned non-zero exit status 1.
15.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/15.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/16.ll']' returned non-zero exit status 1.
16.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/16.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/17.ll']' returned non-zero exit status 1.
20.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/20.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/21.ll']' returned non-zero exit status 1.
21.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/21.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/22.ll']' returned non-zero exit status 1.
22.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/22.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/23.ll']' returned non-zero exit status 1.
23.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/23.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/24.ll']' returned non-zero exit status 1.
24.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/24.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/25.ll']' returned non-zero exit status 1.
25.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/25.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/26.ll']' returned non-zero exit status 1.
26.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/26.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/27.ll']' returned non-zero exit status 1.
27.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/27.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/28.ll']' returned non-zero exit status 1.
28.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/28.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/29.ll']' returned non-zero exit status 1.
29.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/29.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/30.ll']' returned non-zero exit status 1.
30.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/30.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/31.ll']' returned non-zero exit status 1.
31.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/31.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/32.ll']' returned non-zero exit status 1.
33.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/33.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/34.ll']' returned non-zero exit status 1.
34.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/34.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/35.ll']' returned non-zero exit status 1.
35.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/35.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/36.ll']' returned non-zero exit status 1.
36.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/36.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/37.ll']' returned non-zero exit status 1.
37.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/37.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/38.ll']' returned non-zero exit status 1.
39.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/39.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/40.ll']' returned non-zero exit status 1.
40.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/40.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/41.ll']' returned non-zero exit status 1.
41.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/41.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/42.ll']' returned non-zero exit status 1.
42.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/42.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/43.ll']' returned non-zero exit status 1.
43.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/43.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/44.ll']' returned non-zero exit status 1.
44.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/44.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/45.ll']' returned non-zero exit status 1.
45.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/45.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/46.ll']' returned non-zero exit status 1.
47.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/47.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/48.ll']' returned non-zero exit status 1.
48.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/48.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/49.ll']' returned non-zero exit status 1.
49.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/49.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/50.ll']' returned non-zero exit status 1.
51.cpp: Command '['/usr/local/llvm-10/bin/clang', '-std=c++17', '-S', '-emit-llvm', '/home/mercury/Desktop/Final_Year_Project/_test_data/_program_corpus/51.cpp', '-o', '/home/mercury/Desktop/Final_Year_Project/_test_data/llvm/52.ll']' returned non-zero exit status 1.
